"","Group_1","compdist_90","CDDIST","ADDIST","SDDIST","compdist_any"
"2078","9003374A",0,27,44,21,1
"2079","9003405A",0,30,45,22,1
"2080","9003406A",0,0,0,0,0
"2081","9003412A",0,29,42,23,1
"2082","9003413A",0,24,38,19,1
"2083","9003431A",0,29,41,23,1
"2084","9003447A",0,37,52,25,1
"2085","9003448A",0,5,39,20,0
"2086","9003454A",0,24,41,23,1
"2087","9003456A",0,35,51,25,1
"2088","9003457A",0,32,47,26,0
"2089","9003461A",0,32,48,26,0
"2090","9003465A",0,24,41,23,1
"2091","9003466A",0,25,38,19,1
"2092","9003467A",0,5,40,20,0
"2093","9003468A",0,29,41,23,1
"2094","9003469C",0,29,42,23,1
"2095","9003470D",0,29,42,23,1
"2096","9003500B",0,4,39,20,0
"2097","9003503B",0,11,39,20,1
"2098","9003504B",0,3,39,20,0
"2099","9003517A",0,30,45,22,1
"2100","9003518A",0,30,45,22,1
"2101","9003521A",0,30,45,22,1
"2102","9003523E",0,30,45,22,1
"2103","9003528B",0,24,40,20,0
"2104","9003530B",0,24,42,23,1
"2105","9003531C",0,29,42,23,1
"2106","9003536B",0,29,42,23,1
"2107","9003538B",0,29,42,23,1
"2108","9003539B",0,29,42,23,1
"2109","9003541B",0,29,42,23,1
"2110","9003542B",0,29,42,23,1
"2111","9003546B",0,29,42,23,1
"2112","9003549B",0,29,42,23,1
"2113","9003552D",0,29,42,23,1
"2114","9003556B",0,10,40,20,1
"2115","9003557A",0,29,42,23,1
"2116","9003606A",0,13,39,20,0
"2117","9003614A",0,25,38,19,1
"2118","9003626A",0,25,38,19,1
"2119","9003635A",0,30,45,22,1
"2120","9003647A",0,35,48,26,0
"2121","9003650A",0,32,48,26,0
"2122","9003655A",0,32,47,26,0
"2123","9003660A",0,35,48,26,0
"2124","9003662A",0,35,51,25,1
"2125","9003673A",0,35,48,26,0
"2126","9003674A",0,32,47,26,0
"2127","9003681A",0,24,41,23,1
"2128","9003701A",0,29,43,21,0
"2129","9003712A",0,30,49,24,1
"2130","9003716A",0,32,47,26,0
"2131","9003723A",0,32,48,26,0
"2132","9003725A",0,32,48,26,0
"2133","9003726A",0,29,42,23,1
"2134","9003741A",0,32,47,26,0
"2135","9003763A",0,30,46,22,1
"2136","9003767A",0,30,49,24,1
"2137","9003769A",0,25,38,19,1
"2138","9003770A",0,24,38,19,1
"2139","9003771A",0,25,38,19,1
"2140","9003814A",0,30,43,21,1
"2141","9003828A",0,6,39,20,1
"2142","9003856A",0,35,48,26,0
"2143","9003865A",0,35,51,25,1
"2144","9003866A",0,35,51,25,1
"2145","9003886A",0,33,46,22,1
"2146","9003895A",0,33,46,22,1
"2147","9003921A",0,29,43,21,0
"2148","9003922A",0,33,46,22,1
"2149","9003926A",0,29,41,23,1
"2150","9003928A",0,32,47,26,0
"2151","9003930A",0,30,46,22,1
"2152","9003931B",0,30,45,22,1
"2153","9003936A",0,30,45,22,1
"2154","9003937A",0,30,45,22,1
"2155","9003938A",0,30,45,22,1
"2156","9003939A",0,30,45,22,1
"2157","9003940A",0,30,45,22,1
"2158","9003947A",0,33,46,22,1
"2159","9003952A",0,30,46,22,1
"2160","9003953A",0,30,46,22,1
"2161","9003956A",0,32,47,26,0
"2162","9003958A",0,32,47,26,0
"2163","9003961A",0,30,46,22,1
"2164","9003966A",0,32,48,26,0
"2165","9003968A",0,32,48,26,0
"2166","9003969A",0,32,48,26,0
"2167","9003970A",0,32,48,26,0
"2168","9003974A",0,32,48,26,0
"2169","9003975A",0,35,48,26,0
"2170","9003981A",0,29,43,21,0
"2171","9003982A",0,29,43,21,0
"2172","9003984A",0,30,45,22,1
"2173","9003985A",0,30,45,22,1
"2174","9003988A",0,30,45,22,1
"2175","9003990A",0,30,45,22,1
"2176","9003991A",0,30,45,22,1
"2177","9003995A",0,23,39,20,0
"2178","9003998A",0,15,39,20,0
"2179","9004004A",0,24,40,20,0
"2180","9004006B",0,3,40,20,0
"2181","9004010A",0,29,42,23,1
"2182","9004022A",0,29,42,23,1
"2183","9004028A",0,30,46,22,1
"2184","9004050A",0,32,48,26,0
"2185","9004053A",0,35,51,25,1
"2186","9004064B",0,33,46,22,1
"2187","9004069A",0,32,48,26,0
"2188","9004079A",0,0,0,0,0
"2189","9004086A",0,30,45,22,1
"2190","9004090A",0,30,45,22,1
"2191","9004093C",0,30,45,22,1
"2192","9004113A",0,32,48,26,0
"2193","9004116A",0,0,0,0,0
"2194","9004117A",0,0,0,0,0
"2195","9004120A",0,30,46,22,1
"2196","9004121A",0,25,38,19,1
"2197","9004122A",0,32,48,26,0
"2198","9004123A",0,24,38,19,1
"2199","9004125A",0,24,41,23,1
"2200","9004203A",0,10,39,20,1
"2201","9004204A",0,8,39,20,0
"2202","9004205A",0,7,38,19,1
"2203","9004208A",0,4,40,20,0
"2204","9004209C",0,29,42,23,1
"2205","9004210A",0,25,38,19,1
"2206","9004214A",0,29,42,23,1
"2207","9004216A",0,29,42,23,1
"2208","9004217A",0,24,41,23,1
"2209","9004218A",0,29,42,23,1
"2210","9004219A",0,32,47,26,0
"2211","9004220A",0,8,39,20,0
"2212","9004222A",0,29,43,21,0
"2213","9004223A",0,32,47,26,0
"2214","9004225A",0,7,39,20,0
"2215","9004226A",0,37,52,25,1
"2216","9004229A",0,29,42,23,1
"2217","9004230A",0,30,45,22,1
"2218","9004234A",0,25,38,19,1
"2219","9004235A",0,30,45,22,1
"2220","9004236A",0,32,47,26,0
"2221","9004237A",0,29,43,21,0
"2222","9004239A",0,29,43,21,0
"2223","9004240A",0,24,41,23,1
"2224","9004241A",0,24,40,20,0
"2225","9005003A",0,30,46,22,1
"2226","9005006A",0,30,46,22,1
"2227","9005007A",0,30,46,22,1
"2228","9005012A",0,30,46,22,1
"2229","9005013A",0,30,46,22,1
"2230","9005014A",0,33,46,22,1
"2231","9005017A",0,33,46,22,1
"2232","9005018A",0,33,46,22,1
"2233","9005022A",0,33,46,22,1
"2234","9005101A",0,4,40,20,0
"2235","9005102C",0,20,40,20,0
"2236","9005105A",0,30,45,22,1
"2237","9005107A",0,8,40,20,0
"2238","9005109A",0,14,40,20,1
"2239","9005110A",0,7,40,20,0
"2240","9005113A",0,29,43,21,0
"2241","9005116A",0,29,43,21,0
"2242","9005117A",0,29,43,21,0
"2243","9005118A",0,29,43,21,0
"2244","9005120A",0,29,43,21,0
"2245","9005124A",0,29,43,21,0
"2246","9005125B",0,29,43,21,0
"2247","9005126A",0,29,43,21,0
"2248","9005130A",0,29,43,21,0
"2249","9005133B",0,29,43,21,0
"2250","9005136A",0,9,40,20,0
"2251","9005137A",0,13,40,20,0
"2252","9005139A",0,17,40,20,0
"2253","9005140A",0,20,40,20,0
"2254","9005142A",0,6,40,20,1
"2255","9005143A",0,11,40,20,1
"2256","9005145A",0,10,40,20,1
"2257","9005146A",0,14,40,20,1
"2258","9005147A",0,14,40,20,1
"2259","9005148A",0,11,40,20,1
"2260","9005151A",0,16,40,20,0
"2261","9005152A",0,29,40,20,0
"2262","9005154A",0,29,40,20,0
"2263","9005155A",0,29,40,20,0
"2264","9005156A",0,29,40,20,0
"2265","9005158B",0,29,40,20,0
"2266","9005159A",0,29,42,23,1
"2267","9005161A",0,29,40,20,0
"2268","9005164A",0,29,42,23,1
"2269","9005166A",0,29,40,20,0
"2270","9005167A",0,29,40,20,0
"2271","9005169A",0,29,40,20,0
"2272","9005173A",0,24,40,20,0
"2273","9005179A",0,24,40,20,0
"2274","9005181A",0,24,40,20,0
"2275","9005182A",0,24,40,20,0
"2276","9005183A",0,24,40,20,0
"2277","9005185A",0,24,40,20,0
"2278","9005187A",0,24,40,20,0
"2279","9005188A",0,14,40,20,1
"2280","9005189A",0,10,40,20,1
"2281","9005190A",0,7,40,20,0
"2282","9005191A",0,5,40,20,0
"2283","9005194A",0,7,40,20,0
"2284","9005196A",0,29,40,20,0
"2285","9005198A",0,24,40,20,0
"2286","9005199A",0,24,40,20,0
"2287","9005200A",0,24,40,20,0
"2288","9005202A",0,24,40,20,0
"2289","9005204A",0,32,47,26,0
"2290","9005205A",0,32,47,26,0
"2291","9005207A",0,37,51,25,1
"2292","9005209A",0,37,52,25,1
"2293","9005211A",0,35,48,26,0
"2294","9005213A",0,35,48,26,0
"2295","9005214A",0,35,48,26,0
"2296","9005217A",0,35,48,26,0
"2297","9005279A",0,37,52,25,1
"2298","9005291A",0,32,47,26,0
"2299","9005292A",0,32,47,26,0
"2300","9005293A",0,32,47,26,0
"2301","9005295A",0,32,47,26,0
"2302","9005296A",0,32,47,26,0
"2303","9005297A",0,32,47,26,0
"2304","9005299A",0,32,47,26,0
"2305","9005300A",0,32,47,26,0
"2306","9005304A",0,32,47,26,0
"2307","9005305A",0,32,47,26,0
"2308","9005307A",0,32,47,26,0
"2309","9005310A",0,29,42,23,1
"2310","9005312A",0,29,42,23,1
"2311","9005313A",0,32,47,26,0
"2312","9005315A",0,32,47,26,0
"2313","9005316A",0,32,47,26,0
"2314","9005317A",0,32,47,26,0
"2315","9005318A",0,32,47,26,0
"2316","9005319A",0,32,47,26,0
"2317","9005320A",0,32,47,26,0
"2318","9005321A",0,32,47,26,0
"2319","9005322A",0,32,47,26,0
"2320","9005323A",0,32,47,26,0
"2321","9005325A",0,32,47,26,0
"2322","9005327A",0,32,47,26,0
"2323","9005328A",0,32,47,26,0
"2324","9005373A",0,29,42,23,1
"2325","9005374A",0,29,42,23,1
"2326","9005378A",0,29,41,23,1
"2327","9005381A",0,29,42,23,1
"2328","9005383A",0,29,42,23,1
