"","Group_1","compdist_90","CDDIST","ADDIST","SDDIST","compdist_any"
"2607","9006491A",0,24,41,23,1
"2608","9006492A",0,24,41,23,1
"2609","9006495A",0,24,41,23,1
"2610","9006500A",0,24,41,23,1
"2611","9006601A",0,24,41,23,1
"2612","9006602A",0,24,41,23,1
"2613","9006604A",0,24,41,23,1
"2614","9006606A",0,24,41,23,1
"2615","9006611A",0,24,41,23,1
"2616","9006613A",0,24,41,23,1
"2617","9006614A",0,24,41,23,1
"2618","9006615A",0,24,41,23,1
"2619","9006616A",0,24,41,23,1
"2620","9006618A",0,24,41,23,1
"2621","9006619A",0,24,41,23,1
"2622","9006620A",0,24,41,23,1
"2623","9006623A",0,24,41,23,1
"2624","9006624A",0,24,41,23,1
"2625","9006625A",0,24,41,23,1
"2626","9006626A",0,24,41,23,1
"2627","9006627A",0,24,41,23,1
"2628","9006628A",0,24,41,23,1
"2629","9006629A",0,24,41,23,1
"2630","9006630A",0,24,41,23,1
"2631","9006632A",0,24,41,23,1
"2632","9006635A",0,24,41,23,1
"2633","9006636A",0,24,41,23,1
"2634","9006637A",0,24,41,23,1
"2635","9006639A",0,24,41,23,1
"2636","9006642A",0,24,41,23,1
"2637","9006643A",0,24,41,23,1
"2638","9006644A",0,24,41,23,1
"2639","9006646A",0,24,41,23,1
"2640","9006650A",0,24,41,23,1
"2641","9006651A",0,24,41,23,1
"2642","9006652A",0,24,41,23,1
"2643","9006653B",0,24,41,23,1
"2644","9006656B",0,24,41,23,1
"2645","9006657A",0,24,41,23,1
"2646","9006660A",0,24,41,23,1
"2647","9006663A",0,24,41,23,1
"2648","9006664B",0,24,41,23,1
"2649","9006666B",0,24,41,23,1
"2650","9006667A",0,24,41,23,1
"2651","9006669A",0,24,41,23,1
"2652","9006671A",0,24,41,23,1
"2653","9006672A",0,24,41,23,1
"2654","9006690A",0,24,42,23,1
"2655","9007005A",0,29,42,23,1
"2656","9007010A",0,30,46,22,1
"2657","9007011A",0,33,46,22,1
"2658","9007012A",0,33,46,22,1
"2659","9007013A",0,33,46,22,1
"2660","9007015A",0,33,46,22,1
"2661","9007016A",0,33,46,22,1
"2662","9007101A",0,6,40,20,1
"2663","9007102A",0,5,40,20,0
"2664","9007107A",0,32,48,26,0
"2665","9007108B",0,32,48,26,0
"2666","9007114A",0,30,45,22,1
"2667","9007117A",0,12,40,20,0
"2668","9007120A",0,15,40,20,0
"2669","9007124A",0,11,40,20,1
"2670","9007126A",0,7,40,20,0
"2671","9007129A",0,24,40,20,0
"2672","9007131A",0,29,42,23,1
"2673","9007132A",0,29,42,23,1
"2674","9007134A",0,29,42,23,1
"2675","9007139A",0,29,40,20,0
"2676","9007147A",0,29,42,23,1
"2677","9007149A",0,24,40,20,0
"2678","9007153A",0,24,40,20,0
"2679","9007158B",0,24,40,20,0
"2680","9007159A",0,29,40,20,0
"2681","9007163A",0,17,40,20,0
"2682","9007166A",0,32,47,26,0
"2683","9007168A",0,32,47,26,0
"2684","9007170B",0,32,47,26,0
"2685","9007171A",0,37,51,25,1
"2686","9007175A",0,37,51,25,1
"2687","9007177A",0,35,48,26,0
"2688","9007207A",0,32,48,26,0
"2689","9007211A",0,32,47,26,0
"2690","9007212A",0,32,47,26,0
"2691","9007216A",0,32,47,26,0
"2692","9007219A",0,32,48,26,0
"2693","9007221A",0,32,47,26,0
"2694","9007223A",0,32,47,26,0
"2695","9007226A",0,32,47,26,0
"2696","9007228A",0,32,47,26,0
"2697","9007230A",0,29,42,23,1
"2698","9007231A",0,29,42,23,1
"2699","9007234A",0,32,47,26,0
"2700","9007242A",0,33,46,22,1
"2701","9007300A",0,7,39,20,0
"2702","9007307A",0,27,44,21,1
"2703","9007311A",0,27,44,21,1
"2704","9007313A",0,27,44,21,1
"2705","9007317A",0,27,44,21,1
"2706","9007321A",0,27,44,21,1
"2707","9007323A",0,27,44,21,1
"2708","9007327A",0,6,43,21,1
"2709","9007330B",0,27,44,21,1
"2710","9007333A",0,9,43,21,0
"2711","9007340A",0,12,43,21,0
"2712","9007341A",0,6,39,20,1
"2713","9007343B",0,27,44,21,1
"2714","9007346A",0,8,43,21,0
"2715","9007349A",0,32,47,26,0
"2716","9007351A",0,32,47,26,0
"2717","9007365A",0,33,46,22,1
"2718","9007367A",0,29,42,23,1
"2719","9007368A",0,29,42,23,1
"2720","9007369A",0,29,42,23,1
"2721","9007371A",0,30,45,22,1
"2722","9007377A",0,29,42,23,1
"2723","9007379A",0,29,42,23,1
"2724","9007382A",0,29,42,23,1
"2725","9007384B",0,29,42,23,1
"2726","9007385A",0,29,42,23,1
"2727","9007388A",0,29,42,23,1
"2728","9007390A",0,29,42,23,1
"2729","9007391A",0,29,42,23,1
"2730","9007399A",0,36,51,25,1
"2731","9007402A",0,0,0,0,0
"2732","9007429A",0,30,45,22,1
"2733","9007432A",0,30,45,22,1
"2734","9007435A",0,30,45,22,1
"2735","9007436A",0,30,45,22,1
"2736","9007443A",0,30,45,22,1
"2737","9007463A",0,30,43,21,1
"2738","9007542A",0,33,46,22,1
"2739","9007674A",0,24,41,23,1
"2740","9007680A",0,29,41,23,1
"2741","9007682A",0,29,41,23,1
"2742","9007683A",0,29,41,23,1
"2743","9007685A",0,29,41,23,1
"2744","9007687A",0,29,41,23,1
"2745","9007689B",0,29,41,23,1
"2746","9007690A",0,29,41,23,1
"2747","9007693A",0,29,41,23,1
"2748","9007697A",0,29,41,23,1
"2749","9007698A",0,29,41,23,1
"2750","9007732A",0,5,39,20,0
"2751","9007735A",0,18,39,20,0
"2752","9007737A",0,6,39,20,1
"2753","9007740A",0,1,39,20,0
"2754","9007742A",0,12,39,20,0
"2755","9007744A",0,12,39,20,0
"2756","9007747A",0,21,39,20,0
"2757","9007749A",0,9,39,20,0
"2758","9007751A",0,9,39,20,0
"2759","9007754A",0,8,39,20,0
"2760","9007756A",0,5,39,20,0
"2761","9007759A",0,9,39,20,0
"2762","9007770A",0,25,38,19,1
"2763","9007772A",0,25,38,19,1
"2764","9007774A",0,25,38,19,1
"2765","9007777B",0,25,38,19,1
"2766","9007780B",0,25,38,19,1
"2767","9007781B",0,25,38,19,1
"2768","9007782A",0,25,38,19,1
"2769","9007785A",0,25,38,19,1
"2770","9007786A",0,25,38,19,1
"2771","9007788A",0,25,38,19,1
"2772","9007790A",0,25,38,19,1
"2773","9007792A",0,25,38,19,1
"2774","9007794A",0,25,38,19,1
"2775","9007796A",0,25,38,19,1
"2776","9007798A",0,25,38,19,1
"2777","9007800A",0,25,38,19,1
"2778","9007803A",0,25,38,19,1
"2779","9007805A",0,25,38,19,1
"2780","9007807A",0,25,38,19,1
"2781","9007814A",0,25,38,19,1
"2782","9007816A",0,25,38,19,1
"2783","9007824B",0,25,38,19,1
"2784","9007825A",0,25,38,19,1
"2785","9007828A",0,25,38,19,1
"2786","9007831A",0,25,38,19,1
"2787","9007833A",0,25,38,19,1
"2788","9007835A",0,25,38,19,1
"2789","9007838A",0,25,38,19,1
"2790","9007840A",0,25,38,19,1
"2791","9007843A",0,25,38,19,1
"2792","9007844A",0,25,38,19,1
"2793","9007847A",0,25,38,19,1
"2794","9007852B",0,25,38,19,1
"2795","9007857A",0,25,38,19,1
"2796","9007864A",0,25,38,19,1
"2797","9007866A",0,25,38,19,1
"2798","9007869A",0,25,38,19,1
"2799","9007871A",0,25,38,19,1
"2800","9007875A",0,24,38,19,1
"2801","9007877A",0,24,41,23,1
"2802","9007882A",0,24,40,20,0
"2803","9007884A",0,24,40,20,0
"2804","9007886A",0,24,40,20,0
"2805","9007888A",0,24,40,20,0
"2806","9007890A",0,24,40,20,0
"2807","9007894A",0,24,40,20,0
"2808","9007896A",0,24,40,20,0
"2809","9007898A",0,24,40,20,0
"2810","9007900A",0,24,40,20,0
"2811","9007902A",0,24,41,23,1
"2812","9007903A",0,24,41,23,1
"2813","9007907A",0,24,41,23,1
"2814","9007909A",0,24,41,23,1
"2815","9007913A",0,24,41,23,1
"2816","9007927A",0,24,41,23,1
"2817","9007928A",0,24,41,23,1
"2818","9007935A",0,24,41,23,1
"2819","9007937A",0,24,41,23,1
"2820","9007939A",0,24,41,23,1
"2821","9007945A",0,24,41,23,1
"2822","9007947A",0,24,41,23,1
"2823","9007951A",0,24,41,23,1
"2824","9007954A",0,24,41,23,1
"2825","9007957A",0,24,41,23,1
"2826","9007960A",0,24,41,23,1
"2827","9007962A",0,24,41,23,1
"2828","9007967A",0,24,41,23,1
"2829","9007971B",0,24,41,23,1
"2830","9007973A",0,24,41,23,1
"2831","9007975A",0,24,41,23,1
"2832","9007981A",0,24,41,23,1
"2833","9007982A",0,24,41,23,1
"2834","9007985A",0,24,41,23,1
"2835","9007987A",0,24,41,23,1
"2836","9007988A",0,24,41,23,1
"2837","9008147A",0,8,39,20,0
"2838","9008152A",0,11,39,20,1
"2839","9008153B",0,27,44,21,1
"2840","0050051B",0,25,36,17,1
"2841","0050058A",0,25,36,17,1
"2842","0050059A",0,25,36,17,1
"2843","0050061A",0,25,36,17,1
"2844","0050062A",0,25,36,17,1
"2845","0070004A",0,24,41,23,1
"2846","0070006A",0,24,41,23,1
"2847","0070007A",0,24,41,23,1
"2848","0070008A",0,24,41,23,1
"2849","0070041A",0,24,41,23,1
"2850","0080001A",0,24,41,23,1
"2851","0080012B",0,24,41,23,1
"2852","0080021A",0,24,41,23,1
"2853","0080022A",0,24,41,23,1
"2854","0080025A",0,24,41,23,1
"2855","0080034A",0,24,41,23,1
"2856","0080038A",0,24,41,23,1
"2857","0080042A",0,24,41,23,1
"2858","0080043A",0,24,41,23,1
"2859","0080047A",0,24,41,23,1
"2860","0080050A",0,24,41,23,1
"2861","0080052A",0,24,41,23,1
"2862","0080053A",0,24,41,23,1
"2863","0080054A",0,24,41,23,1
"2864","0080070A",0,24,41,23,1
"2865","0080072A",0,24,41,23,1
"2866","0080074A",0,24,41,23,1
"2867","0080075A",0,24,41,23,1
"2868","0150001A",0,31,49,24,1
"2869","0150002A",0,31,49,24,1
"2870","0150003A",0,31,49,24,1
"2871","0150004A",0,31,49,24,1
"2872","0150005A",0,31,49,24,1
"2873","0150006A",0,31,49,24,1
"2874","0150008A",0,31,49,24,1
"2875","0150009A",0,31,49,24,1
"2876","0150012A",0,31,49,24,1
"2877","0150014A",0,31,49,24,1
"2878","0150015A",0,31,49,24,1
"2879","0150016A",0,31,49,24,1
"2880","0150017A",0,31,49,24,1
"2881","0150018A",0,31,49,24,1
"2882","0150022A",0,31,49,24,1
"2883","0150023A",0,31,49,24,1
"2884","0150024A",0,31,49,24,1
"2885","0150025A",0,31,49,24,1
"2886","0150027A",0,31,49,24,1
"2887","0150028A",0,31,49,24,1
"2888","0150030A",0,31,49,24,1
"2889","0150032A",0,31,49,24,1
"2890","0150033A",0,31,49,24,1
"2891","0150033B",0,31,49,24,1
"2892","0150034A",0,31,49,24,1
"2893","0150037A",0,31,49,24,1
"2894","0150037B",0,31,49,24,1
"2895","0150039A",0,31,49,24,1
"2896","0150040A",0,31,49,24,1
"2897","0150041A",0,31,49,24,1
"2898","0150042A",0,31,49,24,1
"2899","0150044D",0,31,49,24,1
"2900","0150045A",0,31,49,24,1
"2901","0150047A",0,31,49,24,1
"2902","0150049A",0,31,49,24,1
"2903","0150051A",0,31,49,24,1
"2904","0150053A",0,31,49,24,1
"2905","0150056A",0,31,49,24,1
"2906","0150057A",0,31,49,24,1
"2907","0150059A",0,31,49,24,1
"2908","0150061A",0,31,49,24,1
"2909","0150063A",0,31,49,24,1
"2910","0150064A",0,31,49,24,1
"2911","0150065A",0,31,49,24,1
"2912","0150067A",0,31,49,24,1
"2913","0150068A",0,31,49,24,1
"2914","0150069A",0,31,49,24,1
"2915","0150071A",0,31,49,24,1
"2916","0150075A",0,31,49,24,1
"2917","0150076A",0,31,49,24,1
"2918","0150079A",0,31,49,24,1
"2919","0150081A",0,31,49,24,1
"2920","0150082A",0,31,49,24,1
"2921","0150084A",0,31,49,24,1
"2922","0200001A",0,27,44,21,1
"2923","0200003A",0,27,44,21,1
"2924","0200005A",0,27,44,21,1
"2925","0200008A",0,27,44,21,1
"2926","0200009A",0,27,44,21,1
"2927","0200011A",0,27,44,21,1
"2928","0200013A",0,27,44,21,1
"2929","0200014A",0,27,44,21,1
"2930","0200015A",0,27,44,21,1
"2931","0200017A",0,27,44,21,1
"2932","0200018A",0,27,44,21,1
"2933","0200019A",0,27,44,21,1
"2934","0200020A",0,27,44,21,1
"2935","0200024A",0,27,44,21,1
"2936","0200025A",0,27,44,21,1
"2937","0200028A",0,27,44,21,1
"2938","0200029A",0,27,44,21,1
"2939","0200030A",0,27,44,21,1
"2940","0200031A",0,27,44,21,1
"2941","0200032A",0,27,44,21,1
"2942","0200033A",0,27,44,21,1
"2943","0200035A",0,27,44,21,1
"2944","0200036A",0,27,44,21,1
"2945","0200037A",0,27,44,21,1
"2946","0200038A",0,27,44,21,1
"2947","0200039A",0,27,44,21,1
"2948","0200040A",0,27,44,21,1
"2949","0200043A",0,27,44,21,1
"2950","0200044A",0,27,44,21,1
"2951","0200046A",0,27,44,21,1
"2952","0200047A",0,27,44,21,1
"2953","0200049A",0,27,44,21,1
"2954","0200050A",0,27,44,21,1
"2955","0200051A",0,27,44,21,1
"2956","0200054A",0,27,44,21,1
"2957","0200070A",0,27,44,21,1
"2958","0200086A",0,27,44,21,1
"2959","0200087A",0,27,44,21,1
"2960","0200088A",0,27,44,21,1
"2961","0200089A",0,27,44,21,1
"2962","0200090A",0,27,44,21,1
"2963","0200091A",0,27,44,21,1
"2964","0200093A",0,27,44,21,1
"2965","0300005A",0,25,36,17,1
"2966","0300021A",0,25,36,17,1
"2967","0350102A",0,28,44,21,1
"2968","0950008A",0,27,43,21,0
"2969","0950009A",0,27,43,21,0
"2970","0950013A",0,27,43,21,0
"2971","0950015A",0,27,43,21,0
"2972","0950018A",0,27,43,21,0
"2973","0950019A",0,27,43,21,0
"2974","0950020A",0,27,43,21,0
"2975","0950022B",0,27,43,21,0
"2976","0950024A",0,27,43,21,0
"2977","0950042A",0,27,43,21,0
"2978","0950132A",0,27,43,21,0
"2979","0950134A",0,27,43,21,0
"2980","0950135A",0,27,43,21,0
"2981","0950136A",0,27,43,21,0
"2982","0950137A",0,27,43,21,0
"2983","0950138A",0,27,43,21,0
"2984","0950139A",0,27,43,21,0
"2985","0950140A",0,27,43,21,0
"2986","0950141A",0,27,43,21,0
"2987","0950142A",0,27,43,21,0
"2988","0950143A",0,27,43,21,0
"2989","0950144A",0,27,43,21,0
"2990","0950145A",0,27,43,21,0
"2991","0950146A",0,27,43,21,0
"2992","0950147A",0,27,43,21,0
"2993","0950148A",0,27,43,21,0
"2994","0950149A",0,27,43,21,0
"2995","0950150A",0,27,43,21,0
"2996","0950151A",0,27,43,21,0
"2997","0950152A",0,27,43,21,0
"2998","0950153A",0,27,43,21,0
"2999","0950154A",0,27,43,21,0
"3000","0950155A",0,27,43,21,0
"3001","0950156A",0,27,43,21,0
"3002","0950157A",0,27,43,21,0
"3003","0950158A",0,27,43,21,0
"3004","0950159A",0,27,43,21,0
"3005","0950160A",0,27,43,21,0
"3006","0950161A",0,27,43,21,0
"3007","0950162A",0,27,43,21,0
"3008","0950163A",0,27,43,21,0
"3009","0950164A",0,27,43,21,0
"3010","0950165A",0,27,43,21,0
"3011","0950166A",0,27,43,21,0
"3012","0950167A",0,27,43,21,0
"3013","0950169B",0,27,43,21,0
"3014","0950170A",0,27,43,21,0
"3015","0950171A",0,27,43,21,0
"3016","0950172A",0,27,43,21,0
"3017","0950173A",0,27,43,21,0
"3018","0950174B",0,27,43,21,0
"3019","0950175A",0,27,43,21,0
"3020","0950176A",0,27,43,21,0
"3021","0950177A",0,27,43,21,0
"3022","0950178A",0,27,43,21,0
"3023","0950179A",0,27,43,21,0
"3024","0950180A",0,27,43,21,0
"3025","0950181A",0,27,43,21,0
"3026","0950182A",0,27,43,21,0
"3027","0950183A",0,27,43,21,0
"3028","0950184A",0,27,43,21,0
"3029","0950185A",0,27,43,21,0
"3030","0950186A",0,27,43,21,0
"3031","0950187A",0,27,43,21,0
"3032","0950188A",0,27,43,21,0
"3033","0950189A",0,27,43,21,0
"3034","0950190A",0,27,43,21,0
"3035","0950191A",0,27,43,21,0
"3036","0950192A",0,27,43,21,0
"3037","0950193A",0,27,43,21,0
"3038","0950194A",0,27,43,21,0
"3039","0950195A",0,27,43,21,0
"3040","0950196A",0,27,43,21,0
"3041","0950197A",0,27,43,21,0
"3042","0950198A",0,27,43,21,0
"3043","0950199A",0,27,43,21,0
"3044","1000006A",0,24,41,23,1
"3045","1000007A",0,24,41,23,1
"3046","1000009A",0,24,41,23,1
"3047","1000010A",0,24,41,23,1
"3048","1000011A",0,24,41,23,1
"3049","1000015A",0,24,41,23,1
"3050","1000016A",0,24,41,23,1
"3051","1000019A",0,24,41,23,1
"3052","1000020A",0,24,41,23,1
"3053","1000028A",0,24,41,23,1
"3054","1000033A",0,24,41,23,1
"3055","1000051A",0,24,41,23,1
"3056","1000072A",0,24,41,23,1
"3057","1000073A",0,24,41,23,1
"3058","1000075D",0,24,41,23,1
"3059","1000076A",0,24,41,23,1
"3060","1000077A",0,24,41,23,1
"3061","1020013B",0,25,36,17,1
"3062","1020243B",0,25,36,17,1
"3063","1020244A",0,25,36,17,1
"3064","1040001H",0,25,38,19,1
"3065","1040002A",0,25,38,19,1
"3066","1040003A",0,25,38,19,1
"3067","1040052A",0,25,38,19,1
"3068","1040070A",0,25,38,19,1
"3069","1040071A",0,25,38,19,1
"3070","1040072A",0,25,38,19,1
"3071","1040226C",0,25,38,19,1
"3072","1040251A",0,25,38,19,1
"3073","1150001A",0,25,38,19,1
"3074","1150002A",0,24,38,19,1
"3075","1150012A",0,24,38,19,1
"3076","1450003A",0,37,52,25,1
"3077","1450164A",0,37,52,25,1
"3078","1600044A",0,32,47,26,0
"3079","1750001A",0,25,36,17,1
"3080","1750029A",0,25,36,17,1
"3081","1750052A",0,25,36,17,1
"3082","1750054A",0,25,36,17,1
"3083","1750055A",0,25,36,17,1
"3084","1770001A",0,25,36,17,1
"3085","1770004A",0,25,36,17,1
"3086","1770005A",0,25,36,17,1
"3087","1770006A",0,25,36,17,1
"3088","1770008A",0,25,36,17,1
"3089","1770011A",0,25,36,17,1
"3090","1770015A",0,25,36,17,1
"3091","1770016E",0,25,36,17,1
"3092","1770062A",0,25,36,17,1
"3093","1770072A",0,25,36,17,1
"3094","1770073A",0,25,36,17,1
"3095","1770306A",0,25,36,17,1
"3096","1770306B",0,25,36,17,1
"3097","2000001A",0,33,50,30,1
"3098","2000012A",0,34,49,24,1
"3099","2000060C",0,33,46,22,1
"3100","2500003A",0,35,52,25,1
"3101","2550001A",0,27,44,21,1
"3102","2550002A",0,27,44,21,1
"3103","2550003A",0,27,44,21,1
"3104","2550004A",0,27,43,21,0
"3105","2550005A",0,27,44,21,1
"3106","2550006A",0,27,44,21,1
"3107","2550007A",0,27,44,21,1
"3108","2550008A",0,27,44,21,1
"3109","2550009A",0,27,44,21,1
"3110","2550010A",0,27,43,21,0
"3111","2550011A",0,27,44,21,1
"3112","2550012A",0,27,43,21,0
"3113","2550013A",0,27,44,21,1
"3114","2550014A",0,27,44,21,1
"3115","2550017A",0,27,43,21,0
"3116","2550018A",0,27,43,21,0
"3117","2550020A",0,27,43,21,0
"3118","2550021A",0,27,43,21,0
"3119","2550022A",0,27,43,21,0
"3120","2550023A",0,27,43,21,0
"3121","2550024A",0,27,43,21,0
"3122","2550025A",0,27,43,21,0
"3123","2550026A",0,27,43,21,0
"3124","2550027A",0,27,43,21,0
"3125","2550028A",0,27,43,21,0
"3126","2550029A",0,27,43,21,0
"3127","2550030A",0,27,43,21,0
"3128","2550032A",0,27,43,21,0
"3129","2550033A",0,27,43,21,0
"3130","2550034A",0,27,43,21,0
"3131","2550035A",0,27,43,21,0
"3132","2550036A",0,27,43,21,0
"3133","2550037A",0,27,43,21,0
"3134","2550038A",0,27,43,21,0
"3135","2550039A",0,27,43,21,0
"3136","2550040A",0,27,43,21,0
"3137","2550041B",0,27,43,21,0
"3138","2550042A",0,27,43,21,0
"3139","2550043A",0,27,43,21,0
"3140","2550044A",0,27,43,21,0
"3141","2550045A",0,27,43,21,0
"3142","2550047A",0,27,43,21,0
"3143","2550049A",0,27,43,21,0
"3144","2550050A",0,27,43,21,0
"3145","2550052A",0,27,43,21,0
"3146","2550053A",0,27,43,21,0
"3147","2550054A",0,27,43,21,0
"3148","2550055A",0,27,43,21,0
"3149","2550058A",0,27,43,21,0
"3150","2550059B",0,27,43,21,0
"3151","2550060A",0,27,43,21,0
"3152","2550062A",0,27,43,21,0
"3153","2550063A",0,27,43,21,0
"3154","2550064A",0,27,43,21,0
"3155","2550065A",0,27,43,21,0
"3156","2550067A",0,27,43,21,0
"3157","2550068A",0,27,43,21,0
"3158","2550069A",0,27,43,21,0
"3159","2550070A",0,27,43,21,0
"3160","2550073A",0,27,43,21,0
"3161","2550074A",0,27,43,21,0
"3162","2550076A",0,27,43,21,0
"3163","2550077B",0,27,43,21,0
"3164","2550078A",0,27,43,21,0
"3165","2550079A",0,27,43,21,0
"3166","2550080A",0,27,43,21,0
"3167","2550082A",0,27,43,21,0
"3168","2550084A",0,27,43,21,0
"3169","2550085B",0,27,43,21,0
"3170","2550086A",0,27,43,21,0
"3171","2550087A",0,27,43,21,0
"3172","2550089A",0,27,43,21,0
"3173","2550090A",0,27,43,21,0
"3174","2550091A",0,27,43,21,0
"3175","2550092A",0,27,43,21,0
"3176","2550094A",0,27,43,21,0
"3177","2550096A",0,27,43,21,0
"3178","2550097A",0,27,43,21,0
"3179","2550099A",0,27,43,21,0
"3180","2550100A",0,27,43,21,0
"3181","2550101B",0,27,43,21,0
"3182","2550103A",0,27,43,21,0
"3183","2550105A",0,27,43,21,0
"3184","2550106A",0,27,43,21,0
"3185","2550107A",0,27,43,21,0
"3186","2550108A",0,27,43,21,0
"3187","2550109A",0,27,43,21,0
"3188","2550110A",0,27,43,21,0
"3189","2550111B",0,27,43,21,0
"3190","2550112A",0,27,43,21,0
"3191","2550117A",0,27,43,21,0
"3192","2550118A",0,27,43,21,0
"3193","2550120A",0,27,43,21,0
"3194","2550124A",0,27,43,21,0
"3195","2550125A",0,27,43,21,0
"3196","2550126A",0,27,43,21,0
"3197","2550127A",0,27,43,21,0
"3198","2550128B",0,27,43,21,0
"3199","2550129A",0,27,43,21,0
"3200","2550131A",0,27,43,21,0
"3201","2550132A",0,27,43,21,0
"3202","2550135A",0,27,43,21,0
"3203","2550136A",0,27,43,21,0
"3204","2550138A",0,27,43,21,0
"3205","2550140A",0,27,43,21,0
"3206","2550142A",0,27,43,21,0
"3207","2550143A",0,27,43,21,0
"3208","2550145A",0,27,43,21,0
"3209","2550146A",0,27,43,21,0
"3210","2550147A",0,27,43,21,0
"3211","2550149A",0,27,43,21,0
"3212","2550150A",0,27,43,21,0
"3213","2550151A",0,27,43,21,0
"3214","2550152A",0,27,43,21,0
"3215","2550153A",0,27,43,21,0
"3216","2550157A",0,27,43,21,0
"3217","2550159A",0,27,43,21,0
"3218","2550163A",0,27,43,21,0
"3219","2550165B",0,27,43,21,0
"3220","2550178A",0,27,43,21,0
"3221","2550183A",0,27,43,21,0
"3222","2550186A",0,27,43,21,0
"3223","2550187A",0,27,43,21,0
"3224","2550188A",0,27,43,21,0
"3225","2550189A",0,27,43,21,0
"3226","2550190A",0,27,43,21,0
"3227","2550192A",0,27,43,21,0
"3228","2550203B",0,27,43,21,0
"3229","2550221A",0,27,43,21,0
"3230","2550222A",0,27,43,21,0
"3231","2550401A",0,27,44,21,1
"3232","2700007A",0,35,51,25,1
"3233","2780001A",0,24,41,23,1
"3234","2780002A",0,24,41,23,1
"3235","2800005A",0,35,51,25,1
"3236","2950001A",0,35,51,25,1
"3237","2950011A",0,35,51,25,1
"3238","3150001A",0,27,44,21,1
"3239","3150004A",0,27,44,21,1
"3240","3150008A",0,27,44,21,1
"3241","3150009A",0,27,44,21,1
"3242","3150011A",0,27,44,21,1
"3243","3150012B",0,27,44,21,1
"3244","3150013A",0,27,44,21,1
"3245","3150016A",0,27,44,21,1
"3246","3150017A",0,27,44,21,1
"3247","3150018A",0,27,44,21,1
"3248","3150019A",0,27,44,21,1
"3249","3150020A",0,27,44,21,1
"3250","3150021A",0,27,44,21,1
"3251","3150022A",0,27,44,21,1
"3252","3150023A",0,27,44,21,1
"3253","3150025A",0,27,44,21,1
"3254","3150026A",0,27,44,21,1
"3255","3150027B",0,27,44,21,1
"3256","3150032A",0,27,44,21,1
"3257","3150037B",0,27,44,21,1
"3258","3150040A",0,27,44,21,1
"3259","3150041A",0,27,44,21,1
"3260","3150060A",0,27,44,21,1
"3261","3150062A",0,27,44,21,1
"3262","3150064A",0,27,44,21,1
"3263","3200001A",0,27,44,21,1
"3264","3200002A",0,27,44,21,1
"3265","3200003A",0,27,44,21,1
"3266","3200004A",0,27,44,21,1
"3267","3200006A",0,27,44,21,1
"3268","3200008B",0,27,44,21,1
"3269","3200009B",0,27,44,21,1
"3270","3200011A",0,27,44,21,1
"3271","3200014A",0,27,44,21,1
"3272","3200018A",0,27,44,21,1
"3273","3200019A",0,27,44,21,1
"3274","3200027A",0,27,44,21,1
"3275","3200052A",0,27,44,21,1
"3276","3500007A",0,28,44,21,1
"3277","3500009A",0,28,44,21,1
"3278","3500010A",0,28,44,21,1
"3279","3500011A",0,28,44,21,1
"3280","3500012A",0,28,44,21,1
"3281","3500013A",0,28,44,21,1
"3282","3500014A",0,28,44,21,1
"3283","3500024A",0,28,44,21,1
"3284","3500050A",0,27,44,21,1
"3285","3500059A",0,27,44,21,1
"3286","3550001A",0,25,36,17,1
"3287","3550002A",0,25,36,17,1
"3288","3550003A",0,25,36,17,1
"3289","3550004A",0,25,36,17,1
"3290","3550004E",0,25,36,17,1
"3291","3550005A",0,25,36,17,1
"3292","3550006A",0,25,36,17,1
"3293","3550007A",0,25,36,17,1
"3294","3550008A",0,25,36,17,1
"3295","3550009A",0,25,36,17,1
"3296","3550010A",0,25,36,17,1
"3297","3550011A",0,25,36,17,1
"3298","3550012A",0,25,36,17,1
"3299","3550013A",0,25,36,17,1
"3300","3550014A",0,25,36,17,1
"3301","3550015A",0,25,36,17,1
"3302","3550016A",0,25,36,17,1
"3303","3550017A",0,25,36,17,1
"3304","3550018A",0,25,36,17,1
"3305","3550019A",0,25,36,17,1
"3306","3550021A",0,25,36,17,1
"3307","3550022A",0,25,36,17,1
"3308","3550024A",0,25,36,17,1
"3309","3550025A",0,25,36,17,1
"3310","3550026A",0,25,36,17,1
"3311","3550027A",0,25,36,17,1
"3312","3550028A",0,25,36,17,1
"3313","3550029A",0,25,36,17,1
"3314","3550030F",0,25,36,17,1
"3315","3550031A",0,25,36,17,1
"3316","3550032B",0,25,36,17,1
"3317","3550034A",0,25,36,17,1
"3318","3550035A",0,25,36,17,1
"3319","3550038A",0,25,36,17,1
"3320","3550039A",0,25,36,17,1
"3321","3550040A",0,25,36,17,1
"3322","3550041A",0,25,36,17,1
"3323","3550042A",0,25,36,17,1
"3324","3550043A",0,25,36,17,1
"3325","3550045A",0,25,36,17,1
"3326","3550048A",0,25,36,17,1
"3327","3550050A",0,25,36,17,1
"3328","3550058A",0,25,36,17,1
"3329","3550060C",0,25,36,17,1
"3330","3550061A",0,25,36,17,1
"3331","3550062A",0,25,36,17,1
"3332","3550080A",0,25,36,17,1
"3333","3550081A",0,25,36,17,1
"3334","3550082A",0,25,36,17,1
"3335","3550083A",0,25,36,17,1
"3336","3550084A",0,25,36,17,1
"3337","3550087C",0,25,36,17,1
"3338","3550088A",0,25,36,17,1
"3339","3550089A",0,25,36,17,1
"3340","3550090A",0,25,36,17,1
