"","precinct","X","Y","black","blackpct","white","whitepct","black_edudiff","black_edudiff_se","white_edudiff","white_edudiff_se","edu_dif","pop18","coef_linquad_white","coef_quad_white","coef_lin_white","sig_linquad_white","sig_quad_white","sig_lin_white","fscore_white","fscore_sig_white","coef_linquad_black","coef_quad_black","coef_lin_black","sig_linquad_black","sig_quad_black","sig_lin_black","fscore_black","fscore_sig_black","coef_all_lin","coef_all_linquad","sig_all_lin","sig_all_linquad"
"11","0200019A",-118.143595551524,34.183804509434,571,0.522415370539799,249,0.227813357731016,0.030290704124915,9.43237519491859,-0.008780574012337,4.9195795003447,0.019548872180451,1093,-0.00197954379601697,-0.000901121884381322,-0.00790348480361973,0.862085861039185,0.600620755610498,4.94195227247501e-09,17.4168654376395,3.26303069958551e-08,-0.0266301933006783,0.00354164587516147,-0.00450594656284193,0.00173304228690232,0.00856658899528163,0.000131615741737354,10.8331599219453,2.11554736167195e-05,-0.020034602188636,-0.0135973154889906,0.00165538882531497,0.011994413283242
"12","0200020A",-118.143818396605,34.1890808256173,362,0.472584856396867,242,0.315926892950392,0.034928036851619,7.84483242568166,-0.021153644587486,5.19703579992033,0.010135135135135,766,-0.00367431786425724,-0.000649978399525954,-0.00800672034219501,0.748608045509152,0.703597189926326,2.58259168182688e-09,17.9957550557917,1.851074401772e-08,-0.0267606721824822,0.00351355488227889,-0.00447615902997855,0.00185392293632181,0.00885392757453095,0.000141990103047969,10.7309133252455,2.34025299901584e-05,-0.0200319425245086,-0.0139698999141531,0.00165339271069496,0.0121198294252443
"13","0200024A",-118.136528594286,34.1833102057143,228,0.355694227769111,315,0.491419656786271,0.064108447701114,6.2429485235858,0.011465480151473,7.45896487801697,0.031290547958878,641,0.000396725135802155,-0.00122698587744018,-0.00774861605435816,0.972754096469899,0.480194664723518,1.19104320438517e-08,16.6588506734346,6.85885254964386e-08,-0.0269201219271101,0.00355084268133784,-0.00452507326418621,0.00179139376915253,0.00870023228782844,0.000127519461563344,10.8493128372958,2.08207986796188e-05,-0.0199403897594087,-0.0119296427960984,0.00165817214340812,0.0122007114424491
"14","0200025A",-118.133902249554,34.1816294206774,232,0.323119777158774,342,0.476323119777159,0.053953571018659,6.64775935539128,-0.058843804171391,7.93284470732389,-0.010257177033493,718,0.00177207344524407,-0.00142108853866919,-0.00765921836074265,0.879374247992765,0.416134054213077,1.96608869951394e-08,16.2456059293914,1.02863113166723e-07,-0.0269615398927371,0.00355766118139161,-0.00453910461135274,0.00180106950493948,0.00875651634087212,0.000123931759300002,10.87071429564,2.03855283116793e-05,-0.0199008688912042,-0.0111149772830389,0.00165976313932735,0.0122424822812934
"15","0200028A",-118.128850149201,34.1990622380107,148,0.260105448154657,370,0.650263620386643,0.044195198375365,6.09331031738192,-0.063651020453746,10.9594321621579,-0.033089913281607,569,-0.00213258958052469,-0.000824011471139987,-0.0078978148849634,0.860039189331882,0.631501340159618,4.56101411363329e-09,17.4740442344843,3.08529028432705e-08,-0.0277560700478705,0.00349151846119149,-0.00446210744311018,0.00217878790777624,0.00945945225175094,0.000152051740242475,10.6058254523166,2.64791274848472e-05,-0.0198520092242619,-0.011434839374674,0.00165532257363997,0.0128285351565501
"16","0200029A",-118.126510705015,34.196712820059,183,0.241106719367589,484,0.63768115942029,0.061369918183962,6.17140665211732,0.0303213618549,12.2266978239927,0.037079657332822,759,-0.000678233447586579,-0.00102191676832356,-0.00781043674676716,0.955434493355293,0.554332465819621,7.6656005860368e-09,17.0197722407474,4.81502293645666e-08,-0.0277798826332853,0.00350316188139012,-0.00447888229381327,0.00215793121714094,0.00943031313418056,0.000146551282973268,10.6437325085495,2.55062918484153e-05,-0.0198216749723665,-0.010688233510402,0.00165692698397182,0.0128435425189356
"17","0200030A",-118.116051335317,34.1943482857143,108,0.195298372513562,382,0.690777576853526,0.062286207819047,6.22429258458955,-0.021832800050528,12.6291347018177,-0.003288916013969,553,0.00338756540653689,-0.00155335576254475,-0.00756145416523004,0.785494381709482,0.37622558162958,3.05905221113531e-08,15.8705510026061,1.48619569254972e-07,-0.0280699506556578,0.00350908933644919,-0.00450949772606154,0.00230888339541437,0.00987831479842512,0.000139302784762818,10.6501831484978,2.53443440993071e-05,-0.0196767343181083,-0.00770902721808507,0.00166132170811485,0.0131211135117534
"18","0200031A",-118.123553191228,34.1918766649123,146,0.224615384615385,439,0.675384615384615,0.056793073253473,5.76762951454671,0.004905559011406,11.9640859411718,0.016620817606039,650,0.0017835513410574,-0.00136353177861573,-0.00765941191037598,0.883420202218948,0.434715634496508,1.83297888771248e-08,16.2889653012083,9.85798472974073e-08,-0.0277183077848692,0.00352052220788113,-0.00450799690418306,0.0021242268872507,0.00943327353639301,0.00013729960309117,10.7056297834038,2.39940962891104e-05,-0.0197745160965358,-0.00946784191084368,0.00165963619219776,0.0128195181616578
"19","0200032A",-118.127202022581,34.1878568419355,138,0.182539682539683,504,0.666666666666667,0.076474018066031,6.11065346470516,0.098695215093418,12.8906353027269,0.088383569425214,756,0.00190873919595317,-0.00140247071503628,-0.0076510216408865,0.873467027639481,0.422145451583069,1.96885274467246e-08,16.2356132683154,1.03876371334305e-07,-0.0274346457590028,0.0035344539568736,-0.00452058257379913,0.00200246888753769,0.00919049203564188,0.000131936889384264,10.7672071734019,2.25787849896618e-05,-0.0198165210055868,-0.0100030023627149,0.00165981601665387,0.012605813053099
"20","0200051A",-118.128152624025,34.1826119609984,134,0.189265536723164,469,0.662429378531073,0.061412998936646,5.94685147317892,-0.070230485304147,12.4459724698889,-0.032202415181138,708,0.00330044752080322,-0.00161740152943719,-0.00756017535024079,0.781127839174563,0.35742949590691,3.31177015881963e-08,15.8246803529972,1.55462974250729e-07,-0.0271968417379141,0.00355131877047874,-0.0045444782793742,0.00191580620441629,0.00907061554214534,0.000124113509220942,10.8374195922708,2.10666974140527e-05,-0.0198176246220288,-0.00968763696767792,0.00166144266637532,0.0124493655431938
"21","0200070A",-118.162280737226,34.1846747317518,456,0.589909443725744,83,0.107373868046572,-0.01923223134909,10.5286918552883,-0.022274745112702,3.95810475917087,-0.02193982220196,773,-0.00789215912629336,-6.28980188891711e-05,-0.00829485880081963,0.465630439145555,0.970075953192571,4.50636996835127e-10,19.6624958871601,3.62662125662719e-09,-0.0256158830192679,0.00347722955257562,-0.00444277540719196,0.00177361475071362,0.00901624797230032,0.00014900097507867,10.6685249826886,2.48894630695278e-05,-0.0202393260081891,-0.0170288594187982,0.00164795619734178,0.0114649535286707
"22","0200086A",-118.137028946188,34.2036546068759,432,0.631578947368421,204,0.298245614035088,0.100270365921052,9.95145392374442,0.06534479275144,5.18168164711538,0.088003700194035,684,-0.00598921047672147,-0.000305620028728011,-0.00812712188481685,0.614730891319668,0.856522139926768,1.10628538848422e-09,18.7825145404331,8.57212286543611e-09,-0.0274794687935794,0.00345315289196299,-0.00441743762856965,0.00225523540555142,0.00969874997272248,0.00016747425348623,10.4912305138859,2.96518535230967e-05,-0.0199387689178177,-0.0134415686415341,0.0016509719966017,0.0126951217870816
"23","0200087A",-118.140310457308,34.1997150506512,438,0.579365079365079,248,0.328042328042328,0.013653984877258,8.02118761176427,-0.054455819068694,4.71632972891969,-0.013708464378504,756,-0.0058044178349456,-0.000336476225337795,-0.00812321826536611,0.62087023830269,0.84235824422783,1.16773374799833e-09,18.7321547623686,9.00491652057857e-09,-0.027206562219688,0.00346488813647509,-0.00442854196218039,0.00214291866845995,0.00949251090009506,0.000161692769538532,10.5440999180498,2.81433678799366e-05,-0.0199778407311661,-0.0138573323886941,0.00165106685292088,0.0124958114675714
"24","0200088A",-118.136697393312,34.1930743789809,246,0.383775351014041,314,0.489859594383775,0.047041581988824,6.74611716696409,-0.006233739283186,7.13446189365332,0.017231814714652,641,-0.00271096850820413,-0.000767916353799473,-0.00793992925645688,0.817571728745068,0.654276540628457,3.7182302434068e-09,17.6619432604338,2.56667622428804e-08,-0.0272160673334529,0.00350708591927609,-0.0044734565910236,0.00198469373374009,0.00909112053496566,0.000145235437146391,10.685446349293,2.44770620873628e-05,-0.0199448280403984,-0.0127308787737328,0.00165458413040259,0.0124368496538382
"25","0200089A",-118.133030885086,34.1910204498777,373,0.395966029723992,421,0.44692144373673,0.013009314670623,6.82223683542721,-0.12942433253606,7.02022238837662,-0.058910468577614,942,-0.000936690556496456,-0.00101211805619943,-0.00782997697720006,0.93694941591411,0.557931740154069,7.13033553556056e-09,17.0883523817338,4.50204124157343e-08,-0.027317914924747,0.00352094344514922,-0.0044928410652239,0.0019736697575687,0.00906403675162477,0.000139433070561348,10.7270231286434,2.34925903803436e-05,-0.0198993435555272,-0.011748009123391,0.00165661404109295,0.012499176938702
