OBJECTID,Field1,precinct,X,Y,black,blackpct,white,whitepct,white_edudiff,black_edudiff,white_edudiff_se,black_edudiff_se,edu_dif,pop18,DeathZone
-1,76,0200001A,-118.160799955490006,34.207453265578600,400,0.345423143350604,598,0.516407599309154,-0.037588466788434,0.052324989613226,9.375060551324211,7.198553707258290,-0.000286424618769,1158,1.000000000000000
-1,77,0200003A,-118.151817609755994,34.199435836441900,493,0.672578444747613,169,0.230559345156890,-0.048168437965048,-0.026741954010298,4.652236646783960,11.936759315759700,-0.034388832141641,733,1.000000000000000
-1,78,0200005A,-118.144954679749006,34.202825777080101,394,0.553370786516854,259,0.363764044943820,-0.047183714665692,0.001994939160264,5.392215469878650,8.148208770903819,-0.018156951518581,712,1.000000000000000
-1,79,0200009A,-118.156972883627006,34.192693573748301,595,0.650984682713348,135,0.147702407002188,0.008808817982126,0.005488514187901,4.011091462132030,11.091360473041400,0.007430830039526,914,1.000000000000000
-1,80,0200011A,-118.154454608961004,34.195574507128299,580,0.697115384615385,115,0.138221153846154,0.011406443749189,0.042337325967944,4.138320076849130,13.522951521212700,0.037866658127322,832,1.000000000000000
-1,81,0200013A,-118.149680133333007,34.192194266666696,519,0.610588235294118,166,0.195294117647059,0.010824055315110,0.024072320356343,4.909275758134700,11.000628919182100,0.018633540372671,850,1.000000000000000
-1,82,0200014A,-118.161532017241001,34.189683807210002,482,0.585662211421628,127,0.154313487241798,0.052324254650026,0.058782854315686,4.456199860740480,10.103919891507100,0.052831528492810,823,1.000000000000000
-1,83,0200015A,-118.165980659091005,34.188279209790203,507,0.781201848998459,61,0.093990755007704,0.011158374698108,0.048874195324762,4.164267218392520,17.235439417285299,0.042598729632698,649,1.000000000000000
-1,84,0200017A,-118.156285351744003,34.185545143895297,523,0.535312180143296,79,0.080859774820880,0.013431535129431,0.067285690027853,4.199925053226830,8.119182974950951,0.056013986013986,977,1.000000000000000
-1,85,0200018A,-118.152795638146003,34.185478226381498,536,0.548057259713701,119,0.121676891615542,0.010429591053544,0.053944658559797,3.991843034976580,8.884574575334460,0.034032438478747,978,1.000000000000000
-1,86,0200019A,-118.143595551524001,34.183804509433998,571,0.522415370539799,249,0.227813357731016,-0.008780574012337,0.030290704124915,4.919579500344700,9.432375194918590,0.019548872180451,1093,1.000000000000000
-1,87,0200020A,-118.143818396604999,34.189080825617303,362,0.472584856396867,242,0.315926892950392,-0.021153644587486,0.034928036851619,5.197035799920330,7.844832425681660,0.010135135135135,766,1.000000000000000
-1,88,0200024A,-118.136528594286006,34.183310205714299,228,0.355694227769111,315,0.491419656786271,0.011465480151473,0.064108447701114,7.458964878016970,6.242948523585800,0.031290547958878,641,1.000000000000000
-1,89,0200025A,-118.133902249553998,34.181629420677403,232,0.323119777158774,342,0.476323119777159,-0.058843804171391,0.053953571018659,7.932844707323890,6.647759355391280,-0.010257177033493,718,1.000000000000000
-1,90,0200028A,-118.128850149201000,34.199062238010697,148,0.260105448154657,370,0.650263620386643,-0.063651020453746,0.044195198375365,10.959432162157899,6.093310317381920,-0.033089913281607,569,1.000000000000000
-1,91,0200029A,-118.126510705014994,34.196712820058998,183,0.241106719367589,484,0.637681159420290,0.030321361854900,0.061369918183962,12.226697823992700,6.171406652117320,0.037079657332822,759,1.000000000000000
-1,92,0200030A,-118.116051335316996,34.194348285714298,108,0.195298372513562,382,0.690777576853526,-0.021832800050528,0.062286207819047,12.629134701817700,6.224292584589550,-0.003288916013969,553,1.000000000000000
-1,93,0200031A,-118.123553191227998,34.191876664912300,146,0.224615384615385,439,0.675384615384615,0.004905559011406,0.056793073253473,11.964085941171801,5.767629514546710,0.016620817606039,650,1.000000000000000
-1,94,0200032A,-118.127202022581002,34.187856841935499,138,0.182539682539683,504,0.666666666666667,0.098695215093418,0.076474018066031,12.890635302726899,6.110653464705160,0.088383569425214,756,1.000000000000000
-1,108,0200051A,-118.128152624025006,34.182611960998400,134,0.189265536723164,469,0.662429378531073,-0.070230485304147,0.061412998936646,12.445972469888900,5.946851473178920,-0.032202415181138,708,1.000000000000000
-1,110,0200070A,-118.162280737225998,34.184674731751798,456,0.589909443725744,83,0.107373868046572,-0.022274745112702,-0.019232231349090,3.958104759170870,10.528691855288301,-0.021939822201960,773,1.000000000000000
-1,111,0200086A,-118.137028946187996,34.203654606875901,432,0.631578947368421,204,0.298245614035088,0.065344792751440,0.100270365921052,5.181681647115380,9.951453923744420,0.088003700194035,684,1.000000000000000
-1,112,0200087A,-118.140310457308004,34.199715050651200,438,0.579365079365079,248,0.328042328042328,-0.054455819068694,0.013653984877258,4.716329728919690,8.021187611764271,-0.013708464378504,756,1.000000000000000
-1,113,0200088A,-118.136697393312005,34.193074378980903,246,0.383775351014041,314,0.489859594383775,-0.006233739283186,0.047041581988824,7.134461893653320,6.746117166964090,0.017231814714652,641,1.000000000000000
-1,114,0200089A,-118.133030885086001,34.191020449877698,373,0.395966029723992,421,0.446921443736730,-0.129424332536060,0.013009314670623,7.020222388376620,6.822236835427210,-0.058910468577614,942,1.000000000000000
-1,115,0200090A,-118.133563734513004,34.198891035398198,237,0.370312500000000,317,0.495312500000000,0.068158589964459,0.089434463845699,7.272761387505930,6.827718521956900,0.073809523809524,640,1.000000000000000
-1,116,0200091A,-118.143444470795998,34.193099318584103,354,0.549689440993789,203,0.315217391304348,-0.078250678315693,0.003954574213861,5.130839241381070,8.451770678444699,-0.026333480145576,644,1.000000000000000
-1,117,0200093A,-118.142171106494004,34.196517187013001,373,0.572085889570552,209,0.320552147239264,-0.094740470028031,-0.018913855801884,5.416238628223490,9.405571834886199,-0.048484848484848,652,1.000000000000000
-1,118,0250001A,-118.338365640253997,34.004462814580002,702,0.896551724137931,43,0.054916985951469,0.025400126016596,-0.011594930902919,4.118923387798740,24.909639807344899,-0.012466108087171,783,0.000000000000000
-1,119,0250002A,-118.336044419657000,34.002095762870503,552,0.876190476190476,52,0.082539682539682,0.007857787550541,0.053830324221202,4.078073349123910,20.911658393409699,0.048125894134478,630,0.000000000000000
-1,120,0250004A,-118.333951688742005,33.998809314569499,570,0.890625000000000,34,0.053125000000000,0.038245195779423,0.074363262436847,4.318095333454250,22.542392411490201,0.070006422607579,640,0.000000000000000
-1,121,0250005A,-118.339631067227003,33.991046042016798,555,0.867187500000000,29,0.045312500000000,0.002243544029034,0.035479476581125,4.091515789844930,21.691519461284201,0.029620181405896,640,0.000000000000000
-1,122,0250006A,-118.339495436275001,33.994009867647101,607,0.919696969696970,30,0.045454545454545,0.017126685762462,0.039017289949119,4.298386195515500,25.323205675073801,0.035494622026966,660,0.000000000000000
-1,123,0250007A,-118.347508247587996,33.991192244373003,590,0.865102639296188,61,0.089442815249267,0.010861442227914,0.069449238668484,4.235698838588830,21.072041653472802,0.059189556251559,682,0.000000000000000
-1,124,0250008A,-118.348282232632997,33.996146189014503,633,0.882845188284519,54,0.075313807531381,0.014001557214793,0.092454555573415,3.967950306467700,22.002055373299999,0.084152066872781,717,0.000000000000000
-1,125,0250009A,-118.351580970716995,33.994201136164001,592,0.887556221889055,44,0.065967016491754,0.020039172921135,0.097257747124230,4.335589614423720,22.852402603114498,0.091490963855422,667,0.000000000000000
-1,126,0250010A,-118.340626394737001,33.998635909539502,559,0.903069466882068,34,0.054927302100162,0.022885822184338,0.052384288483442,3.795311495555990,23.023236847051901,0.048672952680286,619,0.000000000000000
-1,127,0250011A,-118.345499689541995,33.998218761437897,557,0.885532591414944,58,0.092209856915739,0.033951683827929,0.097329221696225,4.076125507673620,20.153673730499602,0.093034924683525,629,0.000000000000000
-1,128,0250012A,-118.345598757282005,34.002002490291297,560,0.880503144654088,37,0.058176100628931,0.027580973504990,0.023910469289300,3.893463591060900,21.956996861834600,0.020948390782708,636,0.000000000000000
-1,129,0250016A,-118.334651509186003,33.997693146981597,513,0.706611570247934,115,0.158402203856749,-0.013534823117832,0.039742991317666,4.247453279579690,14.355015041675900,0.028468921815302,726,0.000000000000000
