"","OBJECTID","Field1","precinct","X","Y","black","blackpct","white","whitepct","black_edudiff","black_edudiff_se","white_edudiff","white_edudiff_se","edu_dif","pop18","coef_linquad_white","coef_quad_white","coef_lin_white","sig_linquad_white","sig_quad_white","sig_lin_white","fscore_white","fscore_sig_white","coef_linquad_black","coef_quad_black","coef_lin_black","sig_linquad_black","sig_quad_black","sig_lin_black","fscore_black","fscore_sig_black","coef_all_lin","coef_all_linquad","in_elipse","abs_lin","NearRiot","round_abs_lin"
"1",-1,1,"0200001A",-118.16079995549,34.2074532655786,400,0.345423143350604,598,0.516407599309154,0.052324989613226,7.19855370725829,-0.037588466788434,9.37506055132421,-0.000286424618769,1158,-0.013440643126148,0.000748542190139,-0.008321108462063,0.232080899764737,0.646704973165025,2.0691e-10,20.5474705547725,1.528211e-09,-0.027718594963824,0.003541092088284,-0.004577130994958,0.001391140917896,0.007057896465538,8.4556563915e-05,11.4320659110033,1.1714865051e-05,-0.020111432770187,-0.017006342260351,0,0.020111432770187,"No","0.02"
"2",-1,2,"0200003A",-118.151817609756,34.1994358364419,493,0.672578444747613,169,0.23055934515689,-0.026741954010298,11.9367593157597,-0.048168437965048,4.65223664678396,-0.034388832141641,733,-0.00891077748839,0.000125042036085,-0.008063302881552,0.434465976515659,0.940339508987586,1.238644e-09,18.656055828217,9.700779e-09,-0.028246149949495,0.003651545083819,-0.004657654994624,0.001104888655878,0.005945431960985,6.9037909171e-05,11.7828791333681,8.288314806e-06,-0.020085637192894,-0.015787788634972,0,0.020085637192894,"No","0.02"
"3",-1,3,"0200005A",-118.144954679749,34.2028257770801,394,0.553370786516854,259,0.36376404494382,0.001994939160264,8.14820877090382,-0.047183714665692,5.39221546987865,-0.018156951518581,712,-0.00791640014463,-1.1018558416e-05,-0.007992498835775,0.497529512080801,0.994762754528957,1.884516e-09,18.2353298598704,1.4641425e-08,-0.028784949580611,0.003662516175129,-0.004662416061079,0.001130751515995,0.00589025151579,6.9137683522e-05,11.7900185133074,8.230168479e-06,-0.020015357845532,-0.014810281863939,0,0.020015357845532,"No","0.02"
"4",-1,4,"0200009A",-118.156972883627,34.1926935737483,595,0.650984682713348,135,0.147702407002188,0.005488514187901,11.0913604730414,0.008808817982126,4.01109146213203,0.007430830039526,914,-0.008500107060515,6.7113173284e-05,-0.008056850398085,0.445314364967843,0.96802243894529,1.370637e-09,18.5531430371779,1.0728244e-08,-0.027747102511316,0.003670199469124,-0.004677775930674,0.001009477666178,0.005754618448147,6.4667754321e-05,11.8754485652058,7.565269954e-06,-0.020156086919723,-0.016400247555534,0,0.020156086919723,"No","0.02"
"5",-1,5,"0200011A",-118.154454608961,34.1955745071283,580,0.697115384615385,115,0.138221153846154,0.042337325967944,13.5229515212127,0.011406443749189,4.13832007684913,0.037866658127322,832,-0.008587532074185,7.9849402035e-05,-0.008054015957919,0.44564428527233,0.961940829853706,1.359353e-09,18.5617192348666,1.063861e-08,-0.027981533307533,0.003663664861126,-0.004670159479537,0.001048037862157,0.005824465898611,6.6371559833e-05,11.8394590665043,7.838555001e-06,-0.020122646683662,-0.016090135282893,0,0.020122646683662,"No","0.02"
"6",-1,6,"0200013A",-118.149680133333,34.1921942666667,519,0.610588235294118,166,0.195294117647059,0.024072320356343,11.0006289191821,0.01082405531511,4.9092757581347,0.018633540372671,850,-0.006272377222262,-0.000246442752827,-0.007915492756805,0.580831758412026,0.884192111204843,3.306602e-09,17.6869496701808,2.5045843e-08,-0.028217836650366,0.003707095204251,-0.00470551309669,0.000969660590409,0.005495591631137,6.0961462019e-05,11.9742559846857,6.863032352e-06,-0.020089206907404,-0.015218940020199,0,0.020089206907404,"No","0.02"
"7",-1,7,"0200014A",-118.161532017241,34.18968380721,482,0.585662211421628,127,0.154313487241798,0.058782854315686,10.1039198915071,0.052324254650026,4.45619986074048,0.05283152849281,823,-0.008950896828675,0.000131491826809,-0.008095459878206,0.413619353791851,0.937258726102852,1.10349e-09,18.7714880338463,8.665069e-09,-0.027366170312139,0.003666530988441,-0.004678677705571,0.000982874878424,0.005767629832275,6.3890757123e-05,11.8849831402293,7.494481672e-06,-0.020208761419087,-0.016996141427047,0,0.020208761419087,"No","0.02"
"8",-1,8,"0200015A",-118.165980659091,34.1882792097902,507,0.781201848998459,61,0.093990755007704,0.048874195324762,17.2354394172853,0.011158374698108,4.16426721839252,0.042598729632698,649,-0.009805847300892,0.00025618608056,-0.008156725783523,0.363410704048461,0.877588708863384,7.5428e-10,19.1597965480759,5.927486e-09,-0.027014826634514,0.003650106398553,-0.004669701720188,0.000991582202388,0.005905635632026,6.4881599402e-05,11.8485890778347,7.768304754e-06,-0.02025230278686,-0.017562805484779,0,0.02025230278686,"No","0.02"
"9",-1,9,"0200017A",-118.156285351744,34.1855451438953,523,0.535312180143296,79,0.08085977482088,0.067285690027853,8.11918297495095,0.013431535129431,4.19992505322683,0.056013986013986,977,-0.006287421820914,-0.000253780288011,-0.007932441056184,0.569408442310155,0.880802394995753,3.165665e-09,17.7308913156431,2.3990963e-08,-0.027637425288888,0.003721945540945,-0.004722361780456,0.000883009003294,0.005331343402297,5.7390144458e-05,12.0600253122634,6.30658774e-06,-0.020177168075856,-0.016114345137823,0,0.020177168075856,"No","0.02"
"10",-1,10,"0200018A",-118.152795638146,34.1854782263815,536,0.548057259713701,119,0.121676891615542,0.053944658559797,8.88457457533446,0.010429591053544,3.99184303497658,0.034032438478747,978,-0.005244804346273,-0.000402053616083,-0.007864411029028,0.638410334917867,0.813108102162574,4.764853e-09,17.3417193908603,3.5123067e-08,-0.027854529988466,0.003736531513331,-0.004734042599362,0.000874330474825,0.005249031208048,5.6065550683e-05,12.0967176589586,6.082554036e-06,-0.020140507134258,-0.015509575871867,0,0.020140507134258,"No","0.02"
